Shopify Handle,Shopify Title,Selling Price,Source Bill,Source Item Description,Cost Price,Margin %,Confidence,Notes
01-crimson-paisley-suit,Crimson Paisley Suit,13990,Bill 1 (Modern Chikan),Suit Mul Chanderi Seq (F/J) + Paul,8200,41.4,HIGH,Premium suit with sequin/paisley work matches description
02-powder-blue-floral-suit,Powder Blue Floral Suit,9590,Bill 1 (Modern Chikan),Suit Mul Chanderi Paul L Blue,6000,37.4,HIGH,Light blue floral mul match
04-sky-blue-striped-sequin-suit,Sky Blue Striped Sequin Suit,10990,Bill 1 (Modern Chikan),Suit Soft Silk Mukesh H Sequence (L Blue),6800,38.1,HIGH,Sequin + light blue silk match
06-pearl-cluster-chikankari-suit,Pearl Cluster Chikankari Suit,11990,Bill 1 (Modern Chikan),Suit Mul Chanderi Cutdana H Paul,6800,43.3,HIGH,Cutdana = pearl cluster - direct match
07-oatmeal-medallion-suit,Oatmeal Medallion Suit,14990,Bill 1 (Modern Chikan),Suit Mul Chanderi (A/O Dupatta) L Blue,9800,34.6,MEDIUM,Premium suit with allover dupatta - price tier match
09-oatmeal-collared-chikankari-suit,Oatmeal Collared Chikankari Co-ord Set,9990,Bill 1 (Modern Chikan),Cord Set Limp Shirt + Palazzo,5500,44.9,HIGH,Cord set / co-ord set with shirt+palazzo match
10-cornflower-blue-sunflower-suit,Cornflower Blue Sunflower Suit,15990,Bill 1 (Modern Chikan),Suit Pure Organza (N/B) Beige,8000,49.97,MEDIUM,Reassigned to Bill 1 organza line (only Bill 1 piece - vendor confirmed all Shopify is Bill 1)
13-blush-pink-mul-suit,Blush Pink Mul Suit,9990,Bill 1 (Modern Chikan),Suit Mul Chanderi Paul Baby Pink,6200,38.0,HIGH,Pink mul chanderi direct match
14-ivory-mul-beige-chikankari-suit,Ivory Mul Suit with Beige Chikankari,15000,Bill 1 (Modern Chikan),Anarkali Mul Chanderi (W/C) Beige,8800,41.3,MEDIUM,Beige + high price match (anarkali could be styled as suit)
15-navy-mul-chikankari-suit,Navy Mul Chikankari Suit,10990,Bill 1 (Modern Chikan),Suit Mul Chanderi Bird Paul D Blue,6500,40.9,HIGH,Dark blue mul match
16-ivory-mul-paisley-suit,Ivory Mul Paisley Suit,9000,Bill 1 (Modern Chikan),Cord Set Cine Tissue Dyed Eq Jali,7000,22.2,LOW,Reassigned to Bill 1 - cord set tissue closest available match (vendor confirmed all Shopify is Bill 1)
18-white-tonal-chikankari-suit,White Tonal Chikankari Suit,8000,Bill 1 (Modern Chikan),Suit Mul Chanderi Paul (W/C) Beige,4800,40.0,HIGH,White/cream tonal mul match
19-ivory-peach-butti-chikankari-suit,Ivory Peach-Butti Chikankari Men's Kurta Unstitched,6090,Bill 1 (Modern Chikan),Maxi Dress Mul Chanderi Jal (D/B),4000,34.3,LOW,Reassigned to Bill 1 - maxi dress closest low-cost item (vendor confirmed all Shopify is Bill 1)
20-blush-pink-chikankari-suit,Blush Pink Chikankari Suit,10000,Bill 1 (Modern Chikan),Suit Viscose Georgette (W/W),5000,50.0,LOW,Reassigned to Bill 1 viscose georgette line (vendor confirmed all Shopify is Bill 1)
21-black-chikankari-suit,Black Chikankari Suit,10990,Bill 1 (Modern Chikan),Anarkali Mul Chanderi (O/W) Black,6800,38.1,HIGH,Black + anarkali match (could be styled as suit)
22-green-chikankari-suit,Mehendi Green Chikankari Suit,13990,Bill 1 (Modern Chikan),Suit Limp Fabric,8500,39.2,LOW,Reassigned to its own Bill 1 line (was double-claiming line with 07-oatmeal-medallion)
