Date,Expense Account,Vendor,Description,Amount,Payment Mode,Recurring,Frequency,Notes
2026-04-22,Packaging Materials,Printo,Price tags prints stickers and packaging bags,10000,Card,No,One-time,Initial packaging stock for launch (date approximate - update if exact date known)
2026-01-05,Travel Expenses,,Flight - Lucknow sourcing trip (January),18000,Card,No,One-time,Estimated split of Rs 36000 total flight spend across two trips. Update with actual ticket dates if available.
2026-04-22,Travel Expenses,,Flight - Lucknow sourcing trip (April),18000,Card,No,One-time,Estimated split of Rs 36000 total flight spend across two trips. Update with actual ticket dates if available.
2026-01-05,Travel Expenses,,Cab expenses - Lucknow sourcing trip (January),1500,Cash,No,One-time,Local cabs during Jan trip - estimated split of Rs 3000 total
2026-04-22,Travel Expenses,,Cab expenses - Lucknow sourcing trip (April),1500,Cash,No,One-time,Local cabs during Apr trip - estimated split of Rs 3000 total
2026-04-22,Marketing - Photography,,Product photo shoot,4000,Card,No,One-time,Product catalog photography (date approximate - update if exact date known)
2026-01-01,Software Subscriptions,OpenAI,ChatGPT Plus annual subscription,400,Card,Yes,Annually,Set recurring expense in Zoho - confirm actual subscription start date and adjust
2026-01-01,Software Subscriptions,Canva,Canva Pro annual subscription (1 user),4000,Card,Yes,Annually,Set recurring expense in Zoho - confirm actual subscription start date and adjust
2026-01-01,Software Subscriptions,Google,Google Workspace Business Starter (1 user) annual,1632,Card,Yes,Annually,Set recurring expense in Zoho - confirm actual subscription start date and adjust
2026-01-01,Software Subscriptions,Shopify,Shopify trial pricing,20,Card,Yes,Monthly,Trial plan Rs 20/month - set recurring monthly. Confirm trial start date.
